,Wikipedia_Movie_ID,Freebase_Movie_ID,Movie_Name,Movie_Release_Date,Movie_Box_Office_Revenue,Movie_Runtime,Movie_Languages,Movie_Countries,Movie_Genres,Quartile
18908,28327,/m/070g7,Stargate,1994-10-28,196567262.0,121.0,"{""/m/05f_3"": ""Norwegian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0f8l9c"": ""France""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/0cq23f0"": ""Sci-Fi Adventure"", ""/m/03k9fj"": ""Adventure""}",Q5
18914,4028549,/m/0bd9gv,Titanic Town,1998,65793.0,101.0,"{""/m/02h40lc"": ""English Language""}","{""/m/03rt9"": ""Ireland"", ""/m/07ssc"": ""United Kingdom""}","{""/m/04xvlr"": ""Period piece"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/02qfv5d"": ""Political thriller""}",Q1
18922,2069295,/m/06j_fz,"Snoopy, Come Home",1972-08-09,245073.0,77.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/04t36"": ""Musical"", ""/m/0bj8m2"": ""Children's"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film""}",Q1
18932,11901160,/m/02rxbsm,The Champ,1979-04-04,30441738.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/0hqxf"": ""Family Film"", ""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01cgz"": ""Boxing""}",Q4
18933,3601835,/m/09p6m8,Eddie and the Cruisers,1983-09-23,4700000.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/02wtdkf"": ""Musical Drama""}",Q2
18944,2198086,/m/06v89p,"He Said, She Said",1991-02-22,9804775.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",Q3
18967,2294047,/m/071k3c,Things Are Tough All Over,1982-08-06,21134374.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/0hj3mz5"": ""Comedy of Errors"", ""/m/01z4y"": ""Comedy""}",Q4
18976,16792210,/m/07s43gs,Obsessed,2009-04-24,73830340.0,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense""}",Q5
18985,31459960,/m/0gky16r,Seven Days in Utopia,2011-09-02,4373074.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/07s9rl0"": ""Drama""}",Q2
19024,7873210,/m/026h2cm,Lord of the Flies,1990-03-16,13985225.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/09blyk"": ""Psychological thriller"", ""/m/060__y"": ""Film adaptation""}",Q3
